"","Conversacion","Cortes_Descortes","Llama_Atencion","Mediodeexpresion","F0_Inicial","F0_Final","F0_Media","F0_Maxima","F0_Minima","Intensidad_Maxima","Intensidad_Minima","Intensidad_Primera","Intensidad_Ultima","Intensidad_Media","Silabas","Duracion","Duracion_Pausa_Anterior","Duracion_Pausa_Posterior","Continuacion_Pausa","Curva_Melodica","Otro_Curva_Melodica","Inflexion_Local_Interna","Tonema","Unidad_Del_Discurso","Valormodal","Otro_Valor_Modal","Fenomeno_Tonal","Fenomeno_Duracion","Fenomeno_Pausas","Fenomeno_Velocidad","Fenomeno_Amplitud","Unidad_Fonica","Estrategia_Pragmatica","Efecto_Pragmatico_Asociado","Elemento_Analizado","Fragmento","cantidad","cantidad_Medio"
"65","VALESCO 171A","descortés","acento;entonación","Intensificación",380.6,258.3,274.7,390.7,93.4,83,57,79,75,74,17,2.5,3.3,0,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","descendente","acto","aserción","desconocido","entonación circunfleja","ninguno","pocas pausas","ninguno","campo tonal alto","grupo entonativo","desacuerdo","desconocido","A: NOO↑ EN EL BOLSO↑ EN LA CARPETA NO EN EL BOLSO↓","A: NOO↑ EN EL BOLSO↑ EN LA CARPETA NO EN EL BOLSO↓
B: (RISAS) [(RISAS)]
C: [(RISAS)] nuevo modelo de bolso
",51,159
"66","VALESCO 183A","cortés","acento;entonación","Intensificación",234.3,305.3,255.6,307.1,207.5,81,57,75,70,72,11,2.5,0.5,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","ascendente_descendente","suspendido","acto;Intervención reactivo-iniciativa","aserción","desconocido","entonación suspendida","alargamiento","sin pausas","ninguno","ninguno","grupo entonativo","manifestación de empatía;acuerdo","desconocido","B: la verdad es quee tienen unos trucos→","A: pues→ les ponen↑ unas medias↑ azules→// entonces cuando graban↑/// o sea es como sii todo fuera azul↓ menos→ menos la parte del cuerpo que quieres que se vea
B: ah
A: y así es como [hacen]
B: [claro]§
A:§ quee se le corten las piernas§
C:§ ((   )) º(madre mía)º
B: la verdad es quee tienen unos trucos→=§
C:§ yaa§
B:§ = alucinantes eh ((   ))",51,159
"67","VALESCO 183A","descortés","entonación","Intensificación;Ironía",257.6,251.6,255.1,331.1,98.3,79,58,65,67,68,11,2.5,0,0.2,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","ascendente_descendente","descendente","acto;Intervención iniciativo-reactiva","pregunta","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","broma afiliadora","desconocido","B: ¿qué cargaste laa casa encima/ o qué↓?","C: y en la mano llevaba un montón de trastos/ no podía llevar ya más// y el viaje es un palo
B: ¿qué cargaste laa casa encima/  o qué↓?§
C:§ no/ llevaba un cacho maleta",156,5
"68","VALESCO 69A","cortés","entonación","Intensificación",172.5,126.8,146,298.7,79.8,75,54,65,60,65,10,2.5,0,0,"el otro hablante toma inmediatamente la palabra","declinación","desconocido","ascendente_descendente","descendente","acto;Intervención reactiva","aserción","desconocido","ninguno","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","acuerdo;opinión","desconocido","C: fíjate↓ cuántas cosas/ Dios mío","P: = ahora lo llevóo/ para que le quitaran los puntos↑// ocho días después↑// y ahora lo tiene que volver a llevar en junio/ a ver cómo va el chiquito/// (2’’) °(a ver)°§
C: § fíjate↓ cuántas cosas/ Dios mío",156,159
"69","VALESCO 171A","descortés","entonación","Intensificación",107,113.4,119,403.2,75.2,61,50,58,55,56,17,2.5,1,0.4,"continúa otro hablante","declinación","desconocido","descendente","descendente","acto;Intervención reactivo-iniciativa","aserción","desconocido","entonación suspendida","alargamiento","sin pausas","ninguno","campo tonal bajo","grupo entonativo","reproche;desacuerdo","desconocido","B: a mí me da igual a las diez que a las once pero no a laa una↓","A: ¡oye! tú mañana si no me he despertado↓ me despiertas ¿eh?/ porque a ti te da igual ducharte a las diez que a las once ¿no?
B: a mí me da igual a las diez que a las once pero no a laa una­↓
A: hombre claro yo a la una no me voy a levantar que tengo que ir a clase// y tengo que ir a lo del grupo",156,159
"70","VALESCO 162A","descortés","entonación;velocidad de habla","desconocido",251,172,255,303,172,89,75,80,81,86,0,2.4,0,0,"continúa el mismo hablante","declinación","desconocido","ninguna","descendente","Intervención iniciativo-reactiva","pregunta","desconocido","descenso brusco de la curva melódica","desconocido","pausas largas","desconocido","ninguno","grupo entonativo","desconocido","desconocido","L: [¿có-] cómo va a decir que no le gusta?","A: ¿qué te ha dicho?
L: que le gusta→// °(hombre)°
A: [¿eeh?]
L: [¿có-] cómo va a decir que no le gusta?///",8,27
"71","VALESCO 140A","cortés","entonación","Atenuación",277,266,261,345,91,87,89,87,77,90,17,2.4,1.5,0.3,"continúa el mismo hablante","suspensión","desconocido","ninguna","suspendido","acto;Intervención reactivo-iniciativa;turno","aserción","desconocido","entonación suspendida","ninguno","pausas largas","ninguno","ninguno","grupo entonativo","reproche;Ofrecer información","desconocido","C: pues porque de momentoo no está haciendo nada↓ entoncess","A: bueno↑ pero↑ y ¿para qué- para qué va a hacer eso ahora? ¿para tener otra especialidad también?§
C:§pues porque de momentoo no está haciendo nada↓ entoncess",156,62
"72","VALESCO 129B","cortés","acento;entonación","Atenuación",241.4,239.4,178.3,275.7,101,86,71,81,84,80,17,2.4,0,0,"continúa un solapamiento","circunfleja","desconocido","ninguna","suspendido","acto","aserción","desconocido","entonación suspendida","ninguno","desconocido","ninguno","ninguno","grupo entonativo","desacuerdo","desconocido","B: cuidao con las ensaladillas rusas que hace una calor→","B: cuidao con las ensaladillas rusas que hace una calor→",51,62
"73","VALESCO 129B","cortés","acento;entonación","Atenuación",73.5,75,124.9,146.7,105.6,80,71,75,72,75,15,2.4,0.5,1,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","acto;Intervención iniciativo-reactiva","aserción","desconocido","entonación suspendida","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","desacuerdo;opinión","desconocido","B: esa clase de zapatillas que dices ahora→","B: esa clase de zapatillas que dices ahora→
A: en invierno te compraré [lo que quieras]
B:[eso es] ((…)) ///eso es [((…))]",51,62
"74","VALESCO 279b","cortés","duración;entonación;velocidad de habla","Humor",158,406,140.2,413,102,72,48,59,65,65,16,2.4,0,0,"continúa otro hablante","inclinación","desconocido","ninguna","ascendente","acto;Intervención iniciativa;turno","pregunta","desconocido","ascenso brusco de la curva melódica","alargamiento","pausas cortas","ninguno","campo tonal alto","cláusula entonativa","broma afiliadora","desconocido","J: buenoo/ digo- ¿luego vais a copiar lo que yo voy a decir?","J: buenoo/ digo- ¿luego vais a copiar lo que yo voy a decir?
C:claroo/ voy a coger apuntes
",4,6
"75","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,286,432,185,69,46,NA,NA,60,10,2.35,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","exhortación","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","ni está Jesús ni su puta madre","C: [¡oh que] si
volvieron a llamar! a las tres horas que el hombre se había
[quedao otra vez un poco embelesao→]
A: [que ((te– tenían)) el teléfono] mal o equivocao§
C: § ni– mira↓
ya cogió el teléfono y dice ni está Jesús ni su PUTA MADRE y
yo→ Vicente ¡por Dios! dice NI VICENTE NI SANTO VICENTE PERO
¿¡ESTOS QUÉ S’HAN CREÍDO ESTA NOCHE!? [y=]
D: [sí sí]
C: = ya se fue a trabajar sin– sin– sin dormir
D: es que son bromitas pesadas§
A: § no↓ eso es que se equivocaron
(( )) [(( ))]
B: [y mi madre– a mí una] de mis amigas (( )) sus hermanas↑
le llamaron dice es de la policía y dice un momentito↑ [(( )) y digo
¡ay madre mía!=]",156,159
"76","VALESCO 37B","cortés","entonación","Intensificación",257,206,226,259,194,90,82,85,89,88,13,2.3,0.25,0.54,"continúa otro hablante","suspensión","Al final la hablante se ríe y produce la elevación paralingüística de su F0 y de la curva de intensidad","ninguna","desconocido","acto","aserción","Afirmación matizada","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","Ofrecer información","Ninguno","A: PERO seguro SEGURO aún no lo sé","A: (( )) porque estoy que si entro↑que si no entro↑(( ))
B: sí sí sí↓ que estabas esperando a ver→ [pero]
A:[pero entro→] ENTRO a fregar ¿sabes?
B: sí sí↓pero oye↑§
A: § pero entro a fregar despachos§
B: § pero oye↑§
A: § PERO seguro SEGURO aún no lo sé",156,159
"77","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,264,410,217,63,45,NA,NA,55,9,2.25,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","me dijo desde sinvergüenza","A: [normal]
C: = ¡OSTÁ! pues sí que he ganao yo cinco mil pesetas fácil§
B: § en un momento
(RISAS)§
C: §¡me cagüen la mar! llamo al número de teléfono
se me pone una señora- me dijo desde SINVERGÜENZA
hasta [todo lo que se le PUEDE DECIR A UNA PERSONA↑]
A: [claro↓ porque aquel tío estaría diciéndolo→]
B: se les ve que [a lo mejor harían algo→]",156,159
"78","VALESCO 37B","cortés","entonación;velocidad de habla","Atenuación",317,226,262,359,200,87,81,89,88,81,25,2.24,0,0.38,"continúa otro hablante","declinación","desconocido","ninguna","descendente","acto","desconocido","Orden atenuada mediante la velocidad de habla rápida","descenso brusco de la curva melódica","ninguno","pocas pausas","velocidad de habla rápida","campo tonal alto","cláusula entonativa","mandato","Ninguno","C: [sí sí sí] pero eso no se te ocurra vendérselo a ese tío por doscientas mil ¿eh","D: eso te cuesta medio kilo
A: [¡MADRE MÍA!]
C: [sí sí sí] pero eso no se te ocurra vendérselo a ese tío por doscientas mil ¿eh?",8,62
"79","VALESCO 130A","descortés","duración;entonación","Intensificación",229.5,380.8,257.4,413.2,68.4,90,76,81,87,82,10,2.2,0,0.7,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","ascendente","acto","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","campo tonal alto","grupo entonativo","reproche;desacuerdo","desconocido","L: las quinientas pesetas que me das­↑","M: todos los días coges/ [mucho o poco pero]
L:[las quinientas pesetas] que me das↑
M: pues quinientas pesetas
",8,159
"80","VALESCO 130A","descortés","acento","Intensificación",235.2,290,232.6,369.3,106,89,77,83,84,85,9,2.2,0.1,0.5,"continúa otro hablante","circunfleja","desconocido","descendente_ascendente","ascendente","acto","pregunta","desconocido","entonación circunfleja","ninguno","desconocido","velocidad de habla lenta","campo tonal alto","grupo entonativo","recriminación;desacuerdo","desconocido","L: ¿pero él me daa-él me da la paga↑?","M: pues todo lo que tienes // él es el que traee-el cabeza de familia el que trae dinero a casa // sino fuera por él­↑ // ¿qué haríamos?
L: ¿pero él me daa-él me da la paga↑?
M: pero te la doy yo­↑",23,159
"81","VALESCO 130A","descortés","acento;entonación","Intensificación",212.4,264,231.6,273.2,211.3,89,79,81,83,86,16,2.2,0,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","descendente_ascendente","ascendente","acto","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","reproche;desacuerdo","desconocido","M: (...) tengo que tener la comida preparada en la mesa↑","L: tienes que hacerlaa ahí↓
M: pues si tu padre [viene] =
L:[tan pronto]
M: = tarde y a la una / tengo que tener la comida preparada en la mesa­↑§
L: §la comida la haces-la haces en una hora↓ / como mucho↓",51,159
"82","VALESCO 126A","cortés","acento","Intensificación",131.8,95,132,214,92,89,82,85,87,88,14,2.2,0.2,0.1,"continúa otro hablante","declinación","desconocido","ninguna","descendente","acto","aserción","desconocido","ninguno","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","acuerdo","desconocido","A:y mu- CURRANTES y muy↑ trabajadores nano","C:§ [((   ))=]
B:§ [((lo quepasa que son-))]
C: = y son MUY currantes↑§
A: § y mu- y muy↑ trabajadores nano§",23,159
"83","VALESCO 129B","cortés","acento;duración;entonación","Intensificación;Fórmulas indirectas",135.1,75,139.7,216.7,93.5,88,72,79,72,81,9,2.2,0,1,"continúa otro hablante","declinación","desconocido","descendente_ascendente","ascendente","acto;Intervención iniciativo-reactiva","pregunta","desconocido","descenso brusco de la curva melódica","ninguno","sin pausas","velocidad de habla lenta","ninguno","grupo entonativo","recriminación;desacuerdo","desconocido","B: (...) ¿SEREMOS IMBÉCILES todos?","B: parece mentira que en esta España seamos así de atrasaos/// los comunistas han desapareci(d)o ya prácticamente del todo y aquí/ y aquí loh están votando/ pero ¿serán imbéciles?/ ¿SEREMOS IMBÉCILES todos?",11,5
"84","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,235,287,170,65,45,NA,NA,57,17,2.19,0,0,"desconocido","declinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","oiga que a mí me lo han tomado por teléfono el pelo","C: [pues sí↓ pues sí]§
A: § no↓ sí
porque quien se queda así un poquito→
C: oiga↓ que a mí me lo han tomao por teléfono el pelo
D: es que pasa eso que muchas veces llaman [por teléfono↑]
C: [a mí me] lo han tomao
bien tomao ¿eh?
A: hay quien tiene costumbre la broma de cuando llega ese
momento→ [llamar por teléfono]",156,159
"85","VALESCO 130A","descortés","acento;entonación","Intensificación",254,116,235,272,113,88,75,81,86,84,14,2.1,0,0.2,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","descendente_ascendente","descendente","acto;Intervención reactiva","aserción","desconocido","descenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","desacuerdo","desconocido","L: como que no tengo yo otra cosa mejor que hacer↓","L: ¿qué tengo que hacer?↓
M: pues lo de siempre hacerle la-arreglar la casa§
L: §sí↓
M: y luego hacerle comida
L: como que no tengo yo otra cosa mejor que hacer↓§
M:§porque yo§
L:§que hacer eso",51,159
"86","VALESCO 025A","descortés","entonación","desconocido",NA,NA,236,358,150,71,46,NA,NA,62,12,2.03,0,0,"desconocido","declinación","desconocido","ninguna","descendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","estaban sentados ahí en el parque",NA,156,27
"87","VALESCO 37B","cortés","entonación","Intensificación",377,333,316,464,224,90,77,79,77,88,10,2,0,0.3,"continúa el mismo hablante","suspensión","desconocido","ascendente_descendente","suspendido","acto","desconocido","Consturcción suspendida enfática. Enfasis intensificador que indica conocimientos compartidos por los interlocutores.","entonación circunfleja","ninguno","ninguno","ninguno","campo tonal alto","cláusula entonativa","desconocido","Ninguno","A: mira ↓ hicimos una cara to(do)s ↑","A:... y dice doscientas mil pesetas si quiere ↑ se lo doy yo
B: [(RISAS)]
C: [(RISAS)]
A: mira ↓ hicimos una cara to(do)s ↑",156,159
"88","VALESCO 37B","cortés","entonación","Atenuación",288.7,248,289.6,355.9,247.2,90,84,89,84,87,16,2,0,0,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","acto","pregunta","Confirmación de expectativas","entonación suspendida","ninguno","sin pausas","ninguno","ninguno","cláusula entonativa","acuerdo","Ninguno","quee claro ↓ se le acababa el contrato ↑ esa semana","A: [((¡ay! esto– estoy] muy contenta))§ 
C: § quee claro se le acababa el contrato ↓ esa semana ↑
A: a setiembre ↓ se le acababa ↓ la primera semana",156,62
"89","VALESCO 37B","cortés","duración;entonación","Atenuación",203,287,249.5,339,137.5,90,81,87,89,88,18,2,0.3,0.8,"continúa el mismo hablante","Otro (especificar bajo)","Suspensión; rematada por una inflexión final circunfleja","ninguna","descendente","acto","desconocido","Mandato atenuado mediante el alargamiento en ""déjaloo""","entonación circunfleja","alargamiento","ninguno","ninguno","ninguno","cláusula entonativa","mandato","Ninguno","yo digo pero déjaloo ↓ que ahora no quieroo arreglarlo/","A: ¡AH! pues este reló es BUENO/ y empezó mi cuñao de cachondeo →/ VAMOS a una relojería y verás qué pronto lo sabemos/ VAMOS → yo digo pero déjaloo ↓ que ahora no quieroo arreglarlo /",8,62
"90","VALESCO 84A","descortés","entonación","Intensificación",260,122,250,417,122,90,73,87,79,89,25,2,0,0,"desconocido","Otro (especificar bajo)","zig-zag","ascendente_descendente","descendente","turno","exclamación","desconocido","descenso brusco de la curva melódica","ninguno","sin pausas","velocidad de habla rápida","ninguno","cláusula entonativa","reproche","desconocido","Pero sabes que me parece que estás actuando como un absoluto egoista",NA,156,159
"91","VALESCO 84A","descortés","entonación;velocidad de habla","Intensificación",231,155,200,404,155,90,75,89,77,90,14,2,0,0,"continúa el mismo hablante","Otro (especificar bajo)","zig-zag","ascendente_descendente","descendente","turno","exhortación","desconocido","descenso brusco de la curva melódica","ninguno","pocas pausas","velocidad de habla rápida","ninguno","cláusula entonativa","Petición información","desconocido","Entonces qué coño quieres; qué cojones quieres.",NA,8,159
"92","VALESCO 130A","descortés","acento;entonación","Intensificación",264.5,229.7,218,281.6,221.7,89,79,89,79,85,12,2,2,0,"el otro hablante toma inmediatamente la palabra","inclinación","desconocido","descendente_ascendente","ascendente","acto;Intervención iniciativo-reactiva","aserción","desconocido","entonación circunfleja","ninguno","pocas pausas","ninguno","campo tonal alto","grupo entonativo","reproche;desacuerdo","desconocido","L: pues no haberle da(d)o tanto dinero↑","M: oy pero si ha-ha venido la boda de tu prima­↑ // y hemos tenido que darle las estrenas­↑
L: pues no haberle da(d)o tanto dinero↑­§
M:§hemos idoo aa-al denstista // o- otras veinte mil pesetas /// y-y todo son gastos↓ es que no se encierra todo en comer­↑ // es los gastos de la casa↑",51,159
"93","VALESCO 114A","descortés","acento;entonación;velocidad de habla","Intensificación",273,168,263.7,334,105,89,75,81,78,84,23,2,0.2,2.6,"continúa otro hablante","declinación","desconocido","ninguna","descendente","acto","exhortación","desconocido","ninguno","ninguno","pausas largas","ninguno","campo tonal alto","cláusula entonativa","recriminación;desacuerdo;mandato","desconocido","¿¡sabes qué te digo!? que la médica dice que cuando tú estés malo que bajes
","C: ¡vete a cagar→ ya!/ ¡ves↓ baja tú!/ ¿¡sabes qué te digo!? que la médica dice que cuando tú estés malo que bajes
B: ¿¡has oído!?… a l’atra parles
C: no↑ es que lo ha dicho así porque ella dice que puede [ser que=]
B:                                                                                 [poh]
C: = l’ha cambiao todo el tratamiento↓ l’ha cambiao la pomada↑ y l’ha cambiao unos porvos
",9,159
"94","VALESCO 130A","descortés","acento;entonación","Intensificación",226.4,320.3,246.5,320.5,107.5,89,80,79,78,82,9,2,0.4,0,"continúa el mismo hablante","inclinación","desconocido","descendente_ascendente","ascendente","subacto","aserción","desconocido","ascenso brusco de la curva melódica","alargamiento","pocas pausas","ninguno","ninguno","grupo entonativo","desacuerdo","desconocido","L: yo a mi padre de cumpleañoos↑ (...)","M: bueno ¿ya le has compra(d)o el regalo a tu padre de cumpleaños?
L: yo a mi padre de cumpleaños↑­ // con la paga que me das HIJA / hace diez años que no me das la paga↓",51,159
"95","VALESCO 130A","descortés","acento;entonación","Intensificación",271.4,233,246.5,310.8,110.8,89,75,83,81,85,12,2,0,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","ascendente_descendente","descendente","acto;Intervención reactiva","aserción","desconocido","descenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","recriminación","desconocido","L: (...)puedes hacer la faena más tarde↓","M: ¡uy! pero sii somos muchos↓ y nadie me ayuda↑
L: ¡oy!
M: [si yo no me ayudo]
L: [pero puedes hacer-]puedes hacer la faena más tarde↓§
M: §más tarde↓",51,159
"96","VALESCO 126A","descortés","entonación","desconocido",132,126,147,173,76,89,84,88,88,88,11,2,0,0,"continúa el mismo hablante","declinación","desconocido","ninguna","descendente","Intervención reactivo-iniciativa","aserción","autoinsulto; autorecriminación","ninguno","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","recriminación;insulto","desconocido","C: que aquí en España somos todos vagos (RISAS) ((   ))","A:§ to(dos) los- to(dos) los vagos-§
B:        §a montar un negocio [nano]
A:              [to(dos)] los vagos que hay en [España↑]
B:[((pero))] allí somos reyes
C: que aquí en España somos todos vagos (RISAS) ((   ))§
B:§ ((claro↓ es VERDA(D) nano↓ es VERDA(D)))§",156,27
"97","VALESCO 130A","descortés","entonación","Intensificación",200,252.8,205,264.5,97.7,87,70,77,74,82,13,2,1.4,0.2,"continúa otro hablante","circunfleja","desconocido","descendente_ascendente","ascendente","acto","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","recriminación;consejos","desconocido","M: pues cuando vayas a la facultad ya verás↑","M: pues cuando vayas a la facultad ya verás↑
L: a la facultad yo no voy a ir a la facultad↑",156,159
"98","VALESCO 129B","cortés","acento;entonación","Atenuación",134,124,134,233.3,104.7,87,73,79,76,79,14,2,3.3,0.7,"continúa otro hablante","circunfleja","desconocido","ninguna","suspendido","acto","aserción","desconocido","entonación suspendida","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","recriminación;desacuerdo;rechazo","desconocido","C: ayer la mamá↓ viendo lo de la faraona →","C: ayer la mamá↓ viendo lo de la faraona→
A: [((…))] (2’’) estuvieron hasta las doce y media",51,62
"99","VALESCO 140A","cortés","acento;entonación","Atenuación",155,154,199,233,151,86,87,86,74,89,14,2,0,2,"continúa otro hablante","Otro (especificar bajo)","F0 e intensidad bajas","ninguna","descendente","acto;Intervención iniciativa;turno","aserción","Amenaza","ninguno","ninguno","ninguno","ninguno","campo tonal bajo","cláusula entonativa","desconocido","desconocido","A: Mario↓ me voy a enfadar contigo como le des","A: Mario↓ me voy a enfadar contigo como le [des]
B: [pos iba] a pegárselo en el ojo↓ pero he fallao porque s’ha echao p’adelante
A: pos mal↓/",51,62
"100","VALESCO 183A","descortés","entonación","Intensificación",242.3,218.3,226.4,290,180,86,68,83,77,80,13,2,0,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","ninguna","suspendido","acto;Intervención reactiva","aserción","desconocido","entonación circunfleja","alargamiento","pocas pausas","ninguno","ninguno","grupo entonativo","reproche;desacuerdo","desconocido","A: te emocionaste noo el susto que te daría→","C: un brasileño que venía↑/ conmigo/ eh/  en San Francisco lo conocí↑ íbamos a la misma clase estábamos en el mismo nivel↓/ me llamaba desde Brasil↑ para felicitarme las navidades→
A: ¡qué [fuerte!=]
B: [vaya tela]
C: [= me emocioné↑]// y mira era mayor↑§
A: § te emocionaste noo el susto que te daría→",156,159
"101","VALESCO 183A","descortés","entonación","Atenuación",239.5,201.3,227.1,265.1,188.6,85,62,80,75,79,11,2,0.2,1,"continúa el mismo hablante","suspensión","desconocido","ninguna","suspendido","acto;Intervención reactivo-iniciativa","aserción","desconocido","entonación suspendida","ninguno","sin pausas","ninguno","ninguno","grupo entonativo","recriminación;rechazo","desconocido","C: para ir allá tienes que saber inglés→ (...)","B: ¡hombre! no me gustaría estar toda la vida [allí=]
C: [pero alquilao]
B: = la verdad peroo
C: para ir allá tienes que saber inglés→/ ¡hombre! no a la perfección pero entenderlo yy [saber hablarlo]
A:[o sea yo entenderlo↑ y hablarloo] y yo me defiendo o sea me ido fuera y→",156,62
"102","VALESCO 183A","descortés","entonación","Intensificación",219.4,228,215.6,247,199.5,84,66,78,72,76,6,2,1,1,"continúa otro hablante","circunfleja","desconocido","descendente","suspendido","acto;Intervención reactiva","exclamación","desconocido","entonación circunfleja","ninguno","pausas cortas","velocidad de habla lenta","ninguno","grupo entonativo","recriminación;broma afiliadora","desconocido","A: ¡ay chica!/ qué lujo","B: ya/ sí tú no has estao↑/ ¿dónde fuiste este verano?
C: en San Francisco
A: ¡ay chica!/ qué lujo",156,159
"103","VALESCO 129B","cortés","acento;entonación","Atenuación;Fórmulas indirectas",135.6,257,133.3,258.1,96.3,83,73,78,81,80,15,2,0,0,"continúa un solapamiento","circunfleja","desconocido","descendente_ascendente","ascendente","acto","pregunta","desconocido","ascenso brusco de la curva melódica","ninguno","sin pausas","ninguno","ninguno","grupo entonativo","broma afiliadora;Petición información","desconocido","B: ¿no comerá↓ unos macarrones este animalito↑?","B: ¿no comerá↓ unos macarrones este anima[lito↑?]
C:[claro] que se los come",51,2
"104","VALESCO 171A","cortés","entonación","Intensificación",290.8,207.3,227.3,297.7,77.8,82,55,75,63,75,14,2,0.3,0,"continúa otro hablante","declinación","desconocido","ascendente_descendente","descendente","acto","pregunta","desconocido","entonación circunfleja","ninguno","sin pausas","velocidad de habla rápida","campo tonal alto","grupo entonativo","desacuerdo","desconocido","A: ¿por qué no puede saber la pobre señora↓?","C: sabes que dicen que sii le miras mucho rato→ pero es una chorrada porque me lo dijo además una tía que era del opus o sea que vete a saber de sexo una señora del opus§
A:  §¡ay! ¿por qué no puede saber la pobre señora↓?
C: porque los del opus como no se metan el látigo",156,159
"105","VALESCO 183A","cortés","entonación","Atenuación",317.6,267.9,263.6,336.5,226.7,81,66,80,72,75,9,2,0,0,"continúa el mismo hablante","declinación","desconocido","ascendente_descendente","suspendido","acto","aserción","desconocido","entonación suspendida","ninguno","pausas cortas","ninguno","campo tonal alto","grupo entonativo","desacuerdo;opinión","desconocido","B: es un poquito grande pero→ (RISAS) (...)","C: mirar que ((   )) que- qué agenda me han dado/// mira
B: ¡ah! está chula↑
C: ¿a qué está chula?
B: sí
A: ¿de dónde es?
C: [de la cam]
B: [es un poquito grande] pero→ (RISAS) [no pero está bien]
C: [pero a mí me gusta grande]// me he hecho el car- el carnet jove",156,62
"106","VALESCO 183A","cortés","entonación","Atenuación",227,193.7,220.7,283.9,187.2,80,66,78,73,74,10,2,1,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","descendente","descendente","acto","pregunta","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","campo tonal bajo","grupo entonativo","reproche;desacuerdo","desconocido","A: ¿pero no te cierras↓?/ ¿no hay persianas↓?","C: no puedo dormir↑ ahora estoy acostumbrada↓ a dormir en casa↑ y no duerm- y luego t- tú sabes cómo se oye↓/ por la noche igual  
A: ¿pero no te cierras↓?/ ¿no hay persianas↓?§
C:§ sí/  pero se oye igual↑ cerrado",156,62
"107","VALESCO 69A","descortés","entonación","Intensificación",114.2,251.4,167.7,257,113.4,75,57,67,73,70,9,2,0.2,0.2,"continúa el mismo hablante","inclinación","desconocido","descendente_ascendente","ascendente","acto","negación","desconocido","entonación suspendida","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","desacuerdo","desconocido","P: no↓/ él tomaba suu- biberón↑ (...)","C: [¿QUE qué toma↓]/ nada más leche aún↑/ o cómo está eso?
P: no↓/ él tomaba suu– su biberón↑/ pero con cereales es→// tipo papilla/ [...]",156,159
"108","VALESCO 171A","cortés","acento;entonación","Atenuación",245,359,233.5,368,75.6,72,49,65,72,60,12,2,2,0.5,"continúa otro hablante","circunfleja","desconocido","ascendente","ascendente","acto","pregunta","PREGUNTA RETÓRICA","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","campo tonal alto","grupo entonativo","reproche","desconocido","A: ¿y la cosita- el cachirulo este blanco↑?","A: ¿y la cosita- el cachirulo este blanco↑?
C: es para cambiar la hora",51,62
"109","VALESCO 171A","cortés","acento;entonación","Atenuación;Humor",220,96,242,304,88.5,71,51,62,58,65,17,2,0,0.6,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","descendente","acto","desconocido","RECRIMINACIÓN INDIRECTA.","entonación circunfleja","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","recriminación","desconocido","A: díselo a Mart- díselo a Marta que Marta tiene una mía↓","C: me debes una pila [(RISAS)]
A:[(RISAS)] díselo a Mart- díselo a Marta que Marta tiene una mía↓
",51,2
