"","Conversacion","Cortes_Descortes","Llama_Atencion","Mediodeexpresion","F0_Inicial","F0_Final","F0_Media","F0_Maxima","F0_Minima","Intensidad_Maxima","Intensidad_Minima","Intensidad_Primera","Intensidad_Ultima","Intensidad_Media","Silabas","Duracion","Duracion_Pausa_Anterior","Duracion_Pausa_Posterior","Continuacion_Pausa","Curva_Melodica","Otro_Curva_Melodica","Inflexion_Local_Interna","Tonema","Unidad_Del_Discurso","Valormodal","Otro_Valor_Modal","Fenomeno_Tonal","Fenomeno_Duracion","Fenomeno_Pausas","Fenomeno_Velocidad","Fenomeno_Amplitud","Unidad_Fonica","Estrategia_Pragmatica","Efecto_Pragmatico_Asociado","Elemento_Analizado","Fragmento","cantidad","cantidad_Medio"
"23","VALESCO 114A","descortés","acento;entonación;velocidad de habla","Intensificación",250,237,337,392,175,89,66,85,74,85,24,4.1,0,0,"el otro hablante toma inmediatamente la palabra","declinación","desconocido","descendente","descendente","Intervención reactivo-iniciativa","exhortación","desconocido","descenso brusco de la curva melódica","ninguno","pausas cortas","velocidad de habla rápida","campo tonal alto","cláusula entonativa","recriminación;desacuerdo","desconocido","TÚ TIENES INFLAMACIÓN EN LOS HUESOS↑ QUE LO HA MIRAO ELLA Y TIENE ESO/// TIENE ASTROSIS","C: TÚ TIENES INFLAMACIÓN EN LOS HUESOS↑ QUE LO HA MIRAO ELLA Y TIENE ESO/// TIENE ASTROSIS
A: ya↓ lo de la astrosis [ya lo sé=]
C: [¿y eso qué es?]
A: = ya lo [sé yo=]
C:[¿y eso qué es→?]",9,159
"24","VALESCO 84A","cortés","entonación","Atenuación",240,157,200,311,157,90,79,89,76,85,30,4,0,0,"desconocido","Otro (especificar bajo)","declinación con énfasis","ninguna","circunflejo","turno","aserción","desconocido","entonación circunfleja","ninguno","desconocido","ninguno","ninguno","cláusula entonativa","opinión","desconocido","Me da la impresión de que tengo que hacer muchas cosas antes de dedicarme a salir con alguien",NA,156,62
"25","VALESCO 84A","cortés","entonación","Atenuación",201,216,200,298,151,90,73,76,89,89,39,4,0,0,"desconocido","Otro (especificar bajo)","declinación con énfasis internos","ascendente_descendente","circunflejo","turno","aserción","desconocido","entonación circunfleja","ninguno","ninguno","ninguno","ninguno","cláusula entonativa","opinión","desconocido","Yo no quiero que estés ahí diciédome te quiero todo el día y que estés diciéndome cosas bonitas y todo eso",NA,156,62
"26","VALESCO 130A","descortés","acento;entonación","Intensificación",204.6,239,206.3,248.8,100.8,89,71,78,76,82,20,4,0.5,0,"continúa otro hablante","circunfleja","desconocido","descendente_ascendente","ascendente","acto","aserción","desconocido","entonación circunfleja","ninguno","pocas pausas","velocidad de habla rápida","campo tonal alto","grupo entonativo","recriminación;desacuerdo","desconocido","M: (...) nadie tendrá cuatro o cinco mil pesetas para arreglarse el pelo a una peluquera así↑","L: que van cuatro marujas y a todas les hacen el mismo pelo§
M:§el mismo pelo↑ peroo// nadie tendrá cuatro o cinco mil pesetas para arreglarse el pelo a una peluquera así↑
L: ¡uh qué noo! los ricos↑",51,159
"27","VALESCO 80A","cortés","duración;entonación","Humor",118,114,140,189,106,90,82,88,87,88,32,3.8,0.1,0.1,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","subacto","pregunta","desconocido","ninguno","alargamiento","pausas cortas","velocidad de habla rápida","ninguno","cláusula entonativa","broma afiliadora","desconocido","S: pero proponlo/ di/ ¿a ver quién viene a correrse conmigo a un pino en el río?/ y verás tú cómoo","S: pero proponlo/ di/ ¿a ver quién viene a correrse conmigo a un pino en el río?/ y verás tú cómoo§
L:§ van a divertirse/ ¿aquí no habrá (( )) de mi botella?
A: es que tee– según cómo propongaa↑/ a lo mejor asín actúan ¿verdad?
J: me huele mal eso// (RISAS)",8,6
"28","VALESCO 114A","descortés","acento;entonación;velocidad de habla","Intensificación",467,300,313,474,129.8,89,74,89,88,84,42,3.8,0,0,"continúa otro hablante","declinación","desconocido","ninguna","ascendente","Intervención reactivo-iniciativa;turno","pregunta","desconocido","descenso brusco de la curva melódica","desconocido","sin pausas","velocidad de habla rápida","campo tonal alto","grupo entonativo","recriminación;desacuerdo","desconocido","¿TÚ NO ME HABÍAS DICHO QUE HABÍAS COGIDO UNA/ UNA BOVEDILLA","C: ¿TÚ NO ME HABÍAS DICHO QUE HABÍAS COGIDO UNA– UNA BOVEDILLA D’ESAS Y QUE TE HABÍAS QUEDAO ASÍ/ QUE TE DOLÍA↑?
A: [una bo–] una bovedilla↓ síi
C: ¡vete a cagar→ ya!/ ¡ves↓ baja tú!/ ¿¡sabes qué te digo!? que la médica dice que cuando tú estés malo que bajes
",9,159
"29","VALESCO 114A","descortés","acento;duración;entonación","Intensificación",408,253,237,88.7,192,89,73,74,76,87,16,3.8,0.2,0.7,"continúa un solapamiento","declinación","desconocido","ascendente","descendente","Intervención reactiva;turno","exclamación","desconocido","ninguno","alargamiento","pocas pausas","ninguno","campo tonal alto","grupo entonativo","desacuerdo","desconocido","A LAS SIETEE ya","A: A LAS SIETEE ya [ESTÁ LEVANTÁ MÁH QUE LEVANTÁ ELLAA]
C: [si es que la muchacha hace guardia hasta lah diez de la nochee ¡aah! vaaa–]/ eh quee
",11,159
"30","VALESCO 80A","cortés","entonación","Humor",121,132,142,164,114,89,79,86,84,86,18,3.8,1.4,0.4,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","Intervención reactiva","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","broma afiliadora","desconocido","S: pues vete a Continente y te lo compras por trescientas [o cuatrocien– (RISAS)]","A: bueno↓ hay/ pero de esos de natación// que es lo que yo quiero/ pero yo no me voy a gastar cuatro mil ni cinco mil pesetas en un bañador de natación
S: pues vete a Continente y te lo compras por trescientas [o cuatrocien– (RISAS)]
C:[en algunas– en algunas tiendecitas/ ahí] por el centro// hay dee",156,6
"31","VALESCO 80A","cortés","duración;entonación","Atenuación",119,122.8,118.6,173,101.7,89,78,89,85,86,27,3.7,0,2.4,"continúa otro hablante","inclinación","desconocido","ninguna","ascendente","Intervención reactivo-iniciativa;turno","aserción","desconocido","ninguno","alargamiento","ninguno","ninguno","ninguno","grupo entonativo","desacuerdo","desconocido","S: provocando nada/ el quee se ponga– que see– que s’excite ya se apañará↓ es su problema// (RISAS§","S: ¿por qué?/ tú tienes un buen cuerpo/ ¡a lucirlo!
A: síi/ peroo hombree/ no hay que ir tampoco/ [provocando allí/ al personal↑]
L:[pero es incómodo/ es incómodo]
S: provocando nada/ el quee se ponga– que see– que s’excite ya se apañará↓es su problema//(RISAS) §
S:§ no– no por ver a una tía en bequini→
A: no↓pero [noo]
C: [pero] eso tiene más [que ver con la ((comodidad)) dee]
A: [pero eso en verano]/ primero/ mira
C: al nadar/ si hace mucho movimiento",8,62
"32","VALESCO 130A","descortés","acento;entonación","Intensificación",196.4,289.5,221,292.6,78,88,71,80,80,83,24,3.7,0.2,0.7,"continúa el mismo hablante","inclinación","desconocido","ascendente","ascendente","acto","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","campo tonal alto","grupo entonativo","recriminación;desacuerdo","desconocido","M: pero si tú no te haces administrativo↑ ni quieres estudiar↑ ni quieres nada↑ (...)
","M: pero si tú no te haces administrativo↑ ni quieres estudiar↑ ni quieres nada↑// pues yo no sé lo quee↓ piensas tú↑
L: ¿qué pienso?/ SÓLO ESTÁS CON LO QUE PIENSO
",51,159
